# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   73       2.565140529798e-10       4.868592171038e-14      -9.320521498045e-13       0.000000000000e+00       2.379409129030e-11       2.963885649504e-12      -9.303292128630e-15 
   74       2.597866163943e-10       5.051127912073e-14      -9.959319630919e-13       0.000000000000e+00       2.303116615265e-11       2.880382869448e-12      -9.359075854738e-15 
   75       2.630892639550e-10       5.236352826198e-14      -1.061332792658e-12       0.000000000000e+00       2.229940798617e-11       2.800250198705e-12      -9.446374901310e-15 
   76       2.664204313273e-10       5.424170703929e-14      -1.128218899687e-12       0.000000000000e+00       2.159503325261e-11       2.723194479504e-12      -9.576747362380e-15 
   77       2.697807368846e-10       5.614425112530e-14      -1.196544749194e-12       0.000000000000e+00       2.091747646062e-11       2.649165695054e-12      -9.745813792788e-15 
   78       2.731711665314e-10       5.806934984514e-14      -1.266259682398e-12       0.000000000000e+00       2.026674613213e-11       2.578145109749e-12      -9.944116439661e-15 
   79       2.765924110364e-10       6.001507223081e-14      -1.337309561888e-12       0.000000000000e+00       1.964246460961e-11       2.510067901241e-12      -1.016098989966e-14 
   80       2.800448484249e-10       6.197936443895e-14      -1.409636722446e-12       0.000000000000e+00       1.904385031132e-11       2.444821067819e-12      -1.038452026079e-14 
   81       2.835285263724e-10       6.396004716863e-14      -1.483179921880e-12       0.000000000000e+00       1.846969998668e-11       2.382241335780e-12      -1.060150424421e-14 
   82       2.870431445981e-10       6.595481307909e-14      -1.557874291855e-12       0.000000000000e+00       1.791837097160e-11       2.322113066806e-12      -1.079740834609e-14 
   83       2.905880372573e-10       6.796122420751e-14      -1.633651288720e-12       0.000000000000e+00       1.738776344377e-11       2.264166165336e-12      -1.095632797935e-14 
   84       2.941625359551e-10       6.997694124855e-14      -1.710445891048e-12       0.000000000000e+00       1.687583079682e-11       2.208140615876e-12      -1.106429240871e-14 
