#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       1.831321235894e-02       3.951180331375e-08      -1.117903114292e-04      -1.705996475238e-07       6.862653219107e-12       1.715663304777e-11       1.203311711478e-20       3.431326609554e-12      -8.384273357190e-05      -1.705996475233e-07       6.011186190598e-01       6.994364789833e-01      -1.117902016503e-04      -2.526471448728e-07       1.343985093156e-05      -8.384290476791e-05       0.000000000000e+00      -4.090417074406e-11      -7.491251226354e-13       1.481728591440e-02      -4.090417074406e-11      -1.084380280372e-07 
       1.850486052361e-02       3.992529738180e-08      -1.141422497727e-04      -1.760118044459e-07       7.080368965586e-12       1.770092241396e-11       1.267606905148e-20       3.540184482793e-12      -8.560668732955e-05      -1.760118044452e-07       6.011183746833e-01       6.994360733737e-01      -1.141421186968e-04      -2.606622558563e-07       1.372259830655e-05      -8.560689173748e-05       0.000000000000e+00      -4.354044826757e-11      -8.057553207754e-13       1.481728427708e-02      -4.354044826757e-11      -1.130488617920e-07 
       1.869650868827e-02       4.033879149555e-08      -1.165186725783e-04      -1.815372283189e-07       7.302641290977e-12       1.825660322744e-11       1.334621515345e-20       3.651320645488e-12      -8.738900443376e-05      -1.815372283181e-07       6.011181261268e-01       6.994356655486e-01      -1.165185195332e-04      -2.688451089254e-07       1.400828900027e-05      -8.738924310168e-05       0.000000000000e+00      -4.631685632839e-11      -8.660159511333e-13       1.481728263910e-02      -4.631685632839e-11      -1.178052069602e-07 
       1.911092296844e-02       4.123291900137e-08      -1.217410930885e-04      -1.938780764896e-07       7.799078727064e-12       1.949769681766e-11       1.489237121966e-20       3.899539363532e-12      -9.130581981639e-05      -1.938780764885e-07       6.011176032161e-01       6.994348086639e-01      -1.217408901734e-04      -2.871212354657e-07       1.463612148912e-05      -9.130613625437e-05       0.000000000000e+00      -5.282782705720e-11      -1.009656048045e-12       1.481727909488e-02      -5.282782705720e-11      -1.286021181671e-07 
       1.952533724861e-02       4.212704672115e-08      -1.270779981298e-04      -2.067658865707e-07       8.317518758530e-12       2.079379689633e-11       1.657861342502e-20       4.158759379265e-12      -9.530849859736e-05      -2.067658865693e-07       6.011170882257e-01       6.994339710499e-01      -1.270777419928e-04      -3.062073828684e-07       1.527771625813e-05      -9.530889803255e-05       0.000000000000e+00      -6.008443931383e-11      -1.173251490188e-12       1.481727554740e-02      -6.008443931383e-11      -1.401247513658e-07 
       1.993975152877e-02       4.302117465511e-08      -1.325293870151e-04      -2.202125176779e-07       8.858438415044e-12       2.214609603761e-11       1.841425215718e-20       4.429219207522e-12      -9.939704026133e-05      -2.202125176760e-07       6.011165789492e-01       6.994331488722e-01      -1.325290741572e-04      -3.261211141986e-07       1.593307315550e-05      -9.939752814998e-05       0.000000000000e+00      -6.815346858629e-11      -1.359061101758e-12       1.481727199650e-02      -6.815346858629e-11      -1.524049152344e-07 
       2.035416580894e-02       4.391530280344e-08      -1.380952590336e-04      -2.342298297111e-07       9.422314681673e-12       2.355578670418e-11       2.040900137460e-20       4.711157340836e-12      -1.035714442752e-04      -2.342298297088e-07       6.011160746441e-01       6.994323400030e-01      -1.380948858060e-04      -3.468799936810e-07       1.660219202250e-05      -1.035720263077e-04       0.000000000000e+00      -7.710608699922e-11      -1.569543784854e-12       1.481726844204e-02      -7.710608699922e-11      -1.654751031953e-07 
       2.076858008911e-02       4.480943116638e-08      -1.437756134935e-04      -2.488296825109e-07       1.000962451714e-11       2.502406129284e-11       2.257298719487e-20       5.004812258569e-12      -1.078317101201e-04      -2.488296825081e-07       6.011155750688e-01       6.994315430443e-01      -1.437751760938e-04      -3.685015854469e-07       1.728507269883e-05      -1.078323922256e-04       0.000000000000e+00      -8.701805112472e-11      -1.807371508043e-12       1.481726488388e-02      -8.701805112472e-11      -1.793684912310e-07 
       2.118299436928e-02       4.570355974414e-08      -1.495704497265e-04      -2.640239354781e-07       1.062084484885e-11       2.655211212213e-11       2.491675643723e-20       5.310422424427e-12      -1.121778372949e-04      -2.640239354748e-07       6.011150804099e-01       6.994307572670e-01      -1.495699441962e-04      -3.910034529689e-07       1.798171502296e-05      -1.121786256466e-04       0.000000000000e+00      -9.796988847207e-11      -2.075442876183e-12       1.481726132186e-02      -9.796988847207e-11      -1.941189369053e-07 
       2.227062390909e-02       4.805019962670e-08      -1.653234855488e-04      -3.068152888570e-07       1.234221278206e-11       3.085553195514e-11       3.200485096946e-20       6.171106391028e-12      -1.239926141616e-04      -3.068152888520e-07       6.011137962449e-01       6.994287314544e-01      -1.653227812027e-04      -4.543751430738e-07       1.987550412981e-05      -1.239937125560e-04       0.000000000000e+00      -1.323011601285e-10      -2.946625341509e-12       1.481725195384e-02      -1.323011601285e-10      -2.371631071382e-07 
       2.335825344890e-02       5.039684099527e-08      -1.818650545460e-04      -3.539969343621e-07       1.424018349102e-11       3.560045872755e-11       4.062137331157e-20       7.120091745510e-12      -1.363987909095e-04      -3.539969343551e-07       6.011125232024e-01       6.994267388846e-01      -1.818641200204e-04      -5.242486349320e-07       2.186407920957e-05      -1.364002482557e-04       0.000000000000e+00      -1.761217247317e-10      -4.114147456521e-12       1.481724255525e-02      -1.761217247317e-10      -2.869976554518e-07 
       2.444588298872e-02       5.274348385494e-08      -1.991951450878e-04      -4.057832468868e-07       1.632337848724e-11       4.080844621809e-11       5.100116109391e-20       8.161689243618e-12      -1.493963588159e-04      -4.057832468773e-07       6.011112521088e-01       6.994247605388e-01      -1.991939458823e-04      -6.009414111738e-07       2.394743721259e-05      -1.493982289148e-04       0.000000000000e+00      -2.314229334438e-10      -5.657656937985e-12       1.481723312302e-02      -2.314229334438e-10      -3.443017098293e-07 
       2.553351252853e-02       5.509012821128e-08      -2.173137454316e-04      -4.623886002924e-07       1.860041927596e-11       4.650104818990e-11       6.340196050088e-20       9.300209637979e-12      -1.629853090737e-04      -4.623886002798e-07       6.011099695484e-01       6.994227747060e-01      -2.173122437595e-04      -6.847709521944e-07       2.612557506287e-05      -1.629876508508e-04       0.000000000000e+00      -3.004943769658e-10      -7.673082044058e-12       1.481722365395e-02      -3.004943769658e-10      -4.097867894023e-07 
       2.662114206834e-02       5.743677407041e-08      -2.362208437157e-04      -5.240273660859e-07       2.107992617338e-11       5.269981543344e-11       7.810548839032e-20       1.053996308669e-11      -1.771656327868e-04      -5.240273660695e-07       6.011086747022e-01       6.994207755751e-01      -2.362189983544e-04      -7.760547341100e-07       2.839848956551e-05      -1.771685105254e-04       0.000000000000e+00      -3.859523681992e-10      -1.027500936386e-11       1.481721414470e-02      -3.859523681992e-10      -4.841967961638e-07 
       2.770877160816e-02       5.978342143896e-08      -2.559164279234e-04      -5.909139101956e-07       2.377051934322e-11       5.942629835804e-11       9.541850113328e-20       1.188525967161e-11      -1.919373209426e-04      -5.909139101748e-07       6.011073623060e-01       6.994187531760e-01      -2.559141940649e-04      -8.751102238097e-07       3.076617734834e-05      -1.919408045174e-04       0.000000000000e+00      -4.907696429235e-10      -1.359928298684e-11       1.481720459177e-02      -4.907696429235e-10      -5.683080045117e-07 
       2.879640114797e-02       6.213007032414e-08      -2.764004858339e-04      -6.632625922763e-07       2.668081870088e-11       6.670204675221e-11       1.156738603270e-19       1.334040935044e-11      -2.073003643754e-04      -6.632625922502e-07       6.011060255370e-01       6.994166967062e-01      -2.763978149352e-04      -9.822548777244e-07       3.322863491928e-05      -2.073045294852e-04       0.000000000000e+00      -6.183063131145e-10      -1.780583516842e-11       1.481719499151e-02      -6.183063131145e-10      -6.629290641008e-07 
       3.011594264888e-02       6.497709010941e-08      -3.023108631554e-04      -7.586795275598e-07       3.051903735501e-11       7.629759338752e-11       1.447183940714e-19       1.525951867750e-11      -2.267331473666e-04      -7.586795275261e-07       6.011043743334e-01       6.994141568284e-01      -3.023075912582e-04      -1.123562447678e-06       3.634338511789e-05      -2.267382496924e-04       0.000000000000e+00      -8.090095233521e-10      -2.436519244056e-11       1.481718327522e-02      -8.090095233521e-10      -7.930480180615e-07 
       3.143548414978e-02       6.782411215368e-08      -3.293817686885e-04      -8.628345843957e-07       3.470872271371e-11       8.677180678427e-11       1.793243452379e-19       1.735436135685e-11      -2.470363265164e-04      -8.628345843527e-07       6.011026797604e-01       6.994115522617e-01      -3.293778113834e-04      -1.277810749468e-06       3.959761698159e-05      -2.470424976879e-04       0.000000000000e+00      -1.046396621750e-09      -3.289542981127e-11       1.481717147665e-02      -1.046396621750e-09      -9.414423265161e-07 
       3.275502565069e-02       7.067113647346e-08      -3.576131785533e-04      -9.761105331021e-07       3.926526424787e-11       9.816316061967e-11       2.202546380186e-19       1.963263212393e-11      -2.682098839150e-04      -9.761105330481e-07       6.011009370334e-01       6.994088754106e-01      -3.576084438748e-04      -1.445566639358e-06       4.299132368858e-05      -2.682172673446e-04       0.000000000000e+00      -1.339194621761e-09      -4.386721793762e-11       1.481715958843e-02      -1.339194621761e-09      -1.109748042671e-06 
       3.407456715159e-02       7.351816308671e-08      -3.870050681892e-04      -1.098890133061e-06       4.420405002404e-11       1.105101250601e-10       2.683389669447e-19       2.210202501202e-11      -2.902538011419e-04      -1.098890132994e-06       6.010991429080e-01       6.994061209284e-01      -3.869994562920e-04      -1.627396953846e-06       4.652449814371e-05      -2.902625525303e-04       0.000000000000e+00      -1.697301181488e-09      -5.783716998090e-11       1.481714760288e-02      -1.697301181488e-09      -1.299671385126e-06 
       3.539410865250e-02       7.636519201291e-08      -4.175574120448e-04      -1.231556132072e-06       4.954046519542e-11       1.238511629885e-10       3.244765858863e-19       2.477023259771e-11      -3.131680590336e-04      -1.231556131990e-06       6.010973023717e-01       6.994032932841e-01      -4.175508148799e-04      -1.823868508313e-06       5.019713292738e-05      -3.131783468741e-04       0.000000000000e+00      -2.131885015978e-09      -7.545911232059e-11       1.481713551201e-02      -2.131885015978e-09      -1.512988743821e-06 
       3.671365015340e-02       7.921222327307e-08      -4.492701836682e-04      -1.374491266321e-06       5.528989686937e-11       1.382247421734e-10       3.896391371225e-19       2.764494843468e-11      -3.369526377512e-04      -1.374491266221e-06       6.010954026013e-01       6.994003767073e-01      -4.492624846592e-04      -2.035548096610e-06       5.400922036404e-05      -3.369646438352e-04       0.000000000000e+00      -2.655490372530e-09      -9.749630248940e-11       1.481712330751e-02      -2.655490372530e-09      -1.751546692640e-06 
       3.803319165430e-02       8.205925688988e-08      -4.821433558150e-04      -1.528078260391e-06       6.146772755696e-11       1.536693188924e-10       4.648734083440e-19       3.073386377848e-11      -3.616075168612e-04      -1.528078260271e-06       6.010934474211e-01       6.993973749640e-01      -4.821344295339e-04      -2.263002490777e-06       5.796075254958e-05      -3.616214367834e-04       0.000000000000e+00      -3.282145665751e-09      -1.248346302386e-10       1.481711098077e-02      -3.282145665751e-09      -2.017261999113e-06 
       3.994960623985e-02       8.619410399330e-08      -5.319525587523e-04      -1.770890989374e-06       7.123441602962e-11       1.780860400741e-10       5.943980478301e-19       3.561720801481e-11      -3.989644190642e-04      -1.770890989217e-06       6.010905048298e-01       6.993928576880e-01      -5.319416078226e-04      -2.622595439614e-06       6.394800273334e-05      -3.989814962722e-04       0.000000000000e+00      -4.408187886160e-09      -1.761100403344e-10       1.481709284215e-02      -4.408187886160e-09      -2.455619391110e-06 
       4.186602082539e-02       9.032895620039e-08      -5.842092140927e-04      -2.038150986932e-06       8.198427369715e-11       2.049606842429e-10       7.513061160808e-19       4.099213684857e-11      -4.381569105696e-04      -2.038150986731e-06       6.010874391022e-01       6.993881512076e-01      -5.841959252137e-04      -3.018393261630e-06       7.022933650833e-05      -4.381776336314e-04       0.000000000000e+00      -5.839294458307e-09      -2.444722825081e-10       1.481707439823e-02      -5.839294458307e-09      -2.961814376910e-06 
       4.378243541093e-02       9.446381360051e-08      -6.389132280594e-04      -2.331030539547e-06       9.376441039432e-11       2.344110259858e-10       9.397262603405e-19       4.688220519716e-11      -4.791849210445e-04      -2.331030539294e-06       6.010842387635e-01       6.993832413744e-01      -6.388972571669e-04      -3.452131920710e-06       7.680472648399e-05      -4.792098265029e-04       0.000000000000e+00      -7.638292017734e-09      -3.344251069428e-10       1.481705561909e-02      -7.638292017734e-09      -3.542509993508e-06 
