#scalar perturbations for mode k = 1.000000000000e-04 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       3.069781851477e-02       6.623253607109e-08      -3.141166139825e-12      -8.035275007321e-23       3.232569221229e-19       8.081423053073e-19       1.592659696485e-31       1.616284610615e-19      -2.355874604869e-12      -8.035275006945e-23       6.011215229440e-01       6.994391918734e-01      -3.141166139825e-12      -1.189993200605e-22       3.776438860553e-13      -2.355874604869e-12       0.000000000000e+00      -9.077492696337e-18      -2.785719790380e-27       1.481717808297e-10      -9.077492696337e-18      -8.561692955263e-15 
       3.353685498182e-02       7.235800160373e-08      -3.749041138772e-12      -1.047714215677e-22       4.214957174668e-19       1.053739293667e-18       2.478555690289e-31       2.107478587334e-19      -2.811780854079e-12      -1.047714215615e-22       6.011212409718e-01       6.994387655141e-01      -3.749041138772e-12      -1.551630679341e-22       4.507254988669e-13      -2.811780854080e-12       0.000000000000e+00      -1.543660523091e-17      -5.173982276245e-27       1.481715249921e-10      -1.543660523091e-17      -1.219608077334e-14 
       3.637589144887e-02       7.848347780777e-08      -4.410649104711e-12      -1.336947820445e-22       5.378583481428e-19       1.344645870357e-18       3.720975238181e-31       2.689291740714e-19      -3.307986828534e-12      -1.336947820350e-22       6.011210099602e-01       6.994383811895e-01      -4.410649104711e-12      -1.979984474976e-22       5.302671841009e-13      -3.307986828535e-12       0.000000000000e+00      -2.513819417125e-17      -9.138216897293e-27       1.481712644272e-10      -2.513819417125e-17      -1.688058086911e-14 
       3.921492791592e-02       8.460896489564e-08      -5.125989914684e-12      -1.675041370646e-22       6.738791088494e-19       1.684697772123e-18       5.418101590894e-31       3.369395544247e-19      -3.844492436013e-12      -1.675041370504e-22       6.011208156609e-01       6.994380333367e-01      -5.125989914683e-12      -2.480702481220e-22       6.162689823724e-13      -3.844492436015e-12       0.000000000000e+00      -3.945986785726e-17      -1.546438364906e-26       1.481709983026e-10      -3.945986785726e-17      -2.280032849301e-14 
       4.205396438297e-02       9.073446311559e-08      -5.895063444563e-12      -2.065807856727e-22       8.310922782100e-19       2.077730695525e-18       7.684686978862e-31       4.155461391050e-19      -4.421297583422e-12      -2.065807856522e-22       6.011206560719e-01       6.994377228574e-01      -5.895063444561e-12      -3.059432602121e-22       7.087309148098e-13      -4.421297583424e-12       0.000000000000e+00      -6.001709016135e-17      -2.522501439860e-26       1.481707257185e-10      -6.001709016135e-17      -3.015550986929e-14 
       4.489300085002e-02       9.685997275445e-08      -6.717869563167e-12      -2.513060123561e-22       1.011032174387e-18       2.527580435967e-18       1.065334640422e-30       5.055160871933e-19      -5.038402172376e-12      -2.513060123273e-22       6.011205210139e-01       6.994374357245e-01      -6.717869563166e-12      -3.721822629252e-22       8.076529646405e-13      -5.038402172378e-12       0.000000000000e+00      -8.881705608148e-17      -3.985146159730e-26       1.481704457085e-10      -8.881705608148e-17      -3.916136766936e-14 
       4.831659665221e-02       1.042467442105e-07      -7.781558722067e-12      -3.132949912783e-22       1.260430295668e-18       3.151075739170e-18       1.538424617678e-30       6.302151478340e-19      -5.836169041550e-12      -3.132949912362e-22       6.011203705511e-01       6.994370950864e-01      -7.781558722064e-12      -4.639898218775e-22       9.355353638993e-13      -5.836169041554e-12       0.000000000000e+00      -1.380365218339e-16      -6.666282733349e-26       1.481700966939e-10      -1.380365218339e-16      -5.254547127116e-14 
       5.174019245439e-02       1.116335334129e-07      -8.923385186050e-12      -3.847211543613e-22       1.547799432256e-18       3.869498580640e-18       2.166388854109e-30       7.738997161280e-19      -6.692538889538e-12      -3.847211543014e-22       6.011202324469e-01       6.994367581685e-01      -8.923385186047e-12      -5.697748575463e-22       1.072811975342e-12      -6.692538889543e-12       0.000000000000e+00      -2.081545219430e-16      -1.076521303344e-25       1.481697334340e-10      -2.081545219430e-16      -6.909878680677e-14 
       5.516378825658e-02       1.190203411231e-07      -1.014334870986e-11      -4.662530855126e-22       1.875830273185e-18       4.689575682961e-18       2.984477499078e-30       9.379151365923e-19      -7.607511532396e-12      -4.662530854297e-22       6.011200949020e-01       6.994364140831e-01      -1.014334870986e-11      -6.905277649661e-22       1.219482800236e-12      -7.607511532403e-12       0.000000000000e+00      -3.057462087425e-16      -1.685863394561e-25       1.481693538492e-10      -3.057462087425e-16      -8.928630368771e-14 
       5.858738405876e-02       1.264071682099e-07      -1.144144903304e-11      -5.585593552289e-22       2.247213503430e-18       5.618033758576e-18       4.032924834015e-30       1.123606751715e-18      -8.581086774780e-12      -5.585593551162e-22       6.011199530149e-01       6.994360590291e-01      -1.144144903304e-11      -8.272389398977e-22       1.375547842608e-12      -8.581086774788e-12       0.000000000000e+00      -4.388319887239e-16      -2.569750094174e-25       1.481689557216e-10      -4.388319887239e-16      -1.136049882643e-13 
       6.201097986095e-02       1.337940156557e-07      -1.281768588350e-11      -6.623085173787e-22       2.664639888796e-18       6.661599721989e-18       5.357279308822e-30       1.332319944398e-18      -9.613264412628e-12      -6.623085172284e-22       6.011197988110e-01       6.994356829874e-01      -1.281768588350e-11      -9.808987741726e-22       1.541007079421e-12      -9.613264412639e-12       0.000000000000e+00      -6.170754602004e-16      -3.824392879041e-25       1.481685366966e-10      -6.170754602004e-16      -1.425838344657e-13 
