# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# All scalar field variables are dimensionless. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:Omega_phi_scf         18:theta_phi_scf         19:y_phi_scf             20:gr.fac. D             21:gr.fac. f          
       3.751614763566e+08       5.370307424177e-15       1.235439711309e-03       3.036664646819e+11       1.416504062846e+04       3.775718319555e-05       5.314177568990e+12       7.132811319560e-04       5.450696760757e+22       1.294396199954e+17       2.681273774755e+14       3.492912981895e-08       3.770622445698e+22       9.221332177243e+22       1.259278054464e+11      -1.259278054197e+11      -2.731941695373e+01       2.060155289132e-05       1.030077523799e-04       3.815777123618e-07       1.999999015375e+00 
       3.725536011352e+08       5.445754855493e-15       1.244087785381e-03       2.994593615955e+11       1.416504061982e+04       3.802148345535e-05       5.277236907304e+12       7.182740958852e-04       5.300711153699e+22       1.267590038559e+17       2.625746218699e+14       3.492912981895e-08       3.666867068848e+22       8.967590924717e+22       1.259278054458e+11      -1.259278054183e+11      -2.729151450857e+01       2.089098402292e-05       1.044549077824e-04       3.869384949891e-07       1.999999008482e+00 
       3.699638541428e+08       5.522262247396e-15       1.252796397239e-03       2.953105452200e+11       1.416504061111e+04       3.828763381666e-05       5.240553032739e+12       7.233020105057e-04       5.154852667135e+22       1.241339016532e+17       2.571368604701e+14       3.492912981895e-08       3.565966705560e+22       8.720831811811e+22       1.259278054452e+11      -1.259278054170e+11      -2.726361206347e+01       2.118448137068e-05       1.059223942604e-04       3.923745911954e-07       1.999999001542e+00 
       3.673921093638e+08       5.599844491267e-15       1.261565968889e-03       2.912192080304e+11       1.416504060234e+04       3.855564723018e-05       5.204124160282e+12       7.283651204717e-04       5.013007736012e+22       1.215631637272e+17       2.518117118155e+14       3.492912981895e-08       3.467842795062e+22       8.480862712584e+22       1.259278054446e+11      -1.259278054156e+11      -2.723570961845e+01       2.148210206085e-05       1.074104974448e-04       3.978870590600e-07       1.999998994552e+00 
       3.648382416588e+08       5.678516687692e-15       1.270396927794e-03       2.871845536895e+11       1.416504059351e+04       3.882553673726e-05       5.167948517325e+12       7.334636721497e-04       4.875065920219e+22       1.190456642268e+17       2.465968437645e+14       3.492912981895e-08       3.372418938323e+22       8.247496787781e+22       1.259278054440e+11      -1.259278054141e+11      -2.720780717349e+01       2.178390402221e-05       1.089195069797e-04       4.034769715271e-07       1.999998987514e+00 
       3.623021267581e+08       5.758294149406e-15       1.279289703234e-03       2.832057968927e+11       1.416504058461e+04       3.909731547057e-05       5.132024343585e+12       7.385979136310e-04       4.740919818604e+22       1.165803006163e+17       2.414899724725e+14       3.492912981895e-08       3.279620838565e+22       8.020552339360e+22       1.259278054434e+11      -1.259278054127e+11      -2.717990472861e+01       2.208994599743e-05       1.104497165780e-04       4.091454166147e-07       1.999998980427e+00 
       3.597836412559e+08       5.839192404273e-15       1.288244728130e-03       2.792821632154e+11       1.416504057566e+04       3.937099665467e-05       5.096349891013e+12       7.437680947433e-04       4.610464985345e+22       1.141659931931e+17       2.364888613922e+14       3.492912981895e-08       3.189376243420e+22       7.799852669025e+22       1.259278054427e+11      -1.259278054111e+11      -2.715200228379e+01       2.240028755439e-05       1.120014240792e-04       4.148934976263e-07       1.999998973290e+00 
       3.572826626042e+08       5.921227198307e-15       1.297262437220e-03       2.754128889621e+11       1.416504056664e+04       3.964659360672e-05       5.060923423711e+12       7.489744670632e-04       4.483599848634e+22       1.118016846145e+17       2.315913202934e+14       3.492912981895e-08       3.101614888669e+22       7.585225940644e+22       1.259278054421e+11      -1.259278054096e+11      -2.712409983905e+01       2.271498909790e-05       1.135749315071e-04       4.207223333658e-07       1.999998966103e+00 
       3.547990691070e+08       6.004414498739e-15       1.306343270699e-03       2.715972210178e+11       1.416504055756e+04       3.992411973709e-05       5.025743217851e+12       7.542172839283e-04       4.360225631593e+22       1.094863394346e+17       2.267952043048e+14       3.492912981895e-08       3.016268443542e+22       7.376505046462e+22       1.259278054414e+11      -1.259278054080e+11      -2.709619739437e+01       2.303411188135e-05       1.151705451286e-04       4.266330583549e-07       1.999998958865e+00 
       3.523327399142e+08       6.088770497121e-15       1.315487670581e-03       2.678344167016e+11       1.416504054842e+04       4.020358855002e-05       4.990807561584e+12       7.594968004496e-04       4.240246275364e+22       1.072189436512e+17       2.220984129735e+14       3.492912981895e-08       2.933270457510e+22       7.173527476990e+22       1.259278054407e+11      -1.259278054063e+11      -2.706829494977e+01       2.335771801871e-05       1.167885755134e-04       4.326268230544e-07       1.999998951577e+00 
       3.498835550157e+08       6.174311612482e-15       1.324696080701e-03       2.641237436217e+11       1.416504053921e+04       4.048501364429e-05       4.956114754964e+12       7.648132735239e-04       4.123568364318e+22       1.049985042612e+17       2.174988893463e+14       3.492912981895e-08       2.852556308546e+22       6.976135194477e+22       1.259278054399e+11      -1.259278054046e+11      -2.704039250524e+01       2.368587049657e-05       1.184293375942e-04       4.387047940879e-07       1.999998944238e+00 
       3.474513952356e+08       6.261054494522e-15       1.333968950348e-03       2.604644795334e+11       1.416504052993e+04       4.076840871386e-05       4.921663109860e+12       7.701669618460e-04       4.010101053326e+22       1.028240488263e+17       2.129946190677e+14       3.492912981895e-08       2.774063152815e+22       6.784174509858e+22       1.259278054392e+11      -1.259278054029e+11      -2.701249006079e+01       2.401863318642e-05       1.200931507286e-04       4.448681544686e-07       1.999998936848e+00 
       3.450361422266e+08       6.349016026850e-15       1.343306728813e-03       2.568559121978e+11       1.416504052060e+04       4.105378754855e-05       4.887450949875e+12       7.755581259218e-04       3.899755997021e+22       1.006946250465e+17       2.085836294987e+14       3.492912981895e-08       2.697729875743e+22       6.597495963098e+22       1.259278054384e+11      -1.259278054011e+11      -2.698458761641e+01       2.435607085709e-05       1.217803387603e-04       4.511181038301e-07       1.999998929406e+00 
       3.426376784639e+08       6.438213330275e-15       1.352709872663e-03       2.532973392442e+11       1.416504051119e+04       4.134116403472e-05       4.853476610268e+12       7.809870280807e-04       3.792447281018e+22       9.860930034348e+16       2.042639888523e+14       3.492912981895e-08       2.623497044430e+22       6.415954206818e+22       1.259278054376e+11      -1.259278053992e+11      -2.695668517210e+01       2.469824918732e-05       1.234912300831e-04       4.574558586596e-07       1.999998921912e+00 
       3.402558872398e+08       6.528663766135e-15       1.362178838463e-03       2.497880680323e+11       1.416504050173e+04       4.163055215591e-05       4.819738437868e+12       7.864539324884e-04       3.688091355019e+22       9.656716145217e+16       2.000338053475e+14       3.492912981895e-08       2.551306861379e+22       6.239407893130e+22       1.259278054368e+11      -1.259278053973e+11      -2.692878272786e+01       2.504523477862e-05       1.252261577042e-04       4.638826525346e-07       1.999998914365e+00 
       3.378906526578e+08       6.620384939678e-15       1.371714086417e-03       2.463274155181e+11       1.416504049219e+04       4.192196599357e-05       4.786234790996e+12       7.919591051597e-04       3.586606967759e+22       9.456731402052e+16       1.958912263812e+14       3.492912981895e-08       2.481103119493e+22       6.067719563585e+22       1.259278054360e+11      -1.259278053954e+11      -2.690088028371e+01       2.539709516812e-05       1.269854593093e-04       4.703997363630e-07       1.999998906766e+00 
       3.355418596270e+08       6.713394703486e-15       1.381316080369e-03       2.429147081209e+11       1.416504048259e+04       4.221541972772e-05       4.752964039384e+12       7.975028139715e-04       3.487915103747e+22       9.260888221802e+16       1.918344377164e+14       3.492912981895e-08       2.412831158314e+22       5.900755542145e+22       1.259278054351e+11      -1.259278053933e+11      -2.687297783962e+01       2.575389884183e-05       1.287694773281e-04       4.770083786269e-07       1.999998899113e+00 
       3.332093938566e+08       6.807711160954e-15       1.390985289618e-03       2.395492815916e+11       1.416504047292e+04       4.251092763760e-05       4.719924564100e+12       8.030853286757e-04       3.391938921744e+22       9.069100835207e+16       1.878616626880e+14       3.492912981895e-08       2.346437821462e+22       5.738385831105e+22       1.259278054342e+11      -1.259278053913e+11      -2.684507539562e+01       2.611571524789e-05       1.305785590013e-04       4.837098656292e-07       1.999998891407e+00 
       3.308931418502e+08       6.903352669810e-15       1.400722183462e-03       2.362304808843e+11       1.416504046318e+04       4.280850410247e-05       4.687114757463e+12       8.087069209128e-04       3.298603694934e+22       8.881285249236e+16       1.839711614244e+14       3.492912981895e-08       2.281871415252e+22       5.580484009880e+22       1.259278054333e+11      -1.259278053892e+11      -2.681717295169e+01       2.648261481013e-05       1.324130564479e-04       4.905055017439e-07       1.999998883647e+00 
       3.285929909005e+08       7.000337845690e-15       1.410527234839e-03       2.329576600279e+11       1.416504045338e+04       4.310816360218e-05       4.654533022967e+12       8.143678642243e-04       3.207836752742e+22       8.697359210305e+16       1.801612300858e+14       3.492912981895e-08       2.219081668440e+22       5.426927136569e+22       1.259278054324e+11      -1.259278053870e+11      -2.678927050784e+01       2.685466894175e-05       1.342733267336e-04       4.973966096703e-07       1.999998875832e+00 
