# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 14.8025 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.344243639918e-02       1.946120759431e+04 
       3.359610858067e-02       1.938162126062e+04 
       3.375038740791e-02       1.930194579612e+04 
       3.390528975366e-02       1.922234750978e+04 
       3.406083307537e-02       1.914281831882e+04 
       3.421703544101e-02       1.906325034482e+04 
       3.437391555647e-02       1.898371343015e+04 
       3.453149279434e-02       1.890409109865e+04 
       3.468978722448e-02       1.882459311184e+04 
       3.484881964624e-02       1.874507559576e+04 
       3.500861162260e-02       1.866560664800e+04 
       3.516918551632e-02       1.858610919518e+04 
       3.533056452821e-02       1.850673003489e+04 
       3.549277273775e-02       1.842731734764e+04 
       3.565583514615e-02       1.834792164811e+04 
       3.581977772208e-02       1.826856782297e+04 
       3.598462745024e-02       1.818925276141e+04 
       3.615041238303e-02       1.811000017728e+04 
       3.631716169548e-02       1.803078436006e+04 
       3.648490574378e-02       1.795151112962e+04 
       3.665367612763e-02       1.787247578264e+04 
       3.682350575670e-02       1.779323107280e+04 
       3.699442892165e-02       1.771416126691e+04 
       3.716648136989e-02       1.763518531372e+04 
       3.733970038666e-02       1.755608544647e+04 
       3.751412488171e-02       1.747714116985e+04 
       3.768979548220e-02       1.739821575882e+04 
       3.786675463225e-02       1.731921933807e+04 
       3.804504669976e-02       1.724040085095e+04 
       3.822471809115e-02       1.716151005641e+04 
       3.840581737467e-02       1.708265008932e+04 
       3.858839541316e-02       1.700384105719e+04 
       3.877250550703e-02       1.692506416233e+04 
       3.895820354848e-02       1.684625792605e+04 
       3.914554818797e-02       1.676752725310e+04 
       3.933460101419e-02       1.668879405637e+04 
       3.952542674879e-02       1.661009055922e+04 
       3.971809345734e-02       1.653132918570e+04 
       3.991267277818e-02       1.645262284726e+04 
       4.010924017102e-02       1.637387815580e+04 
       4.030787518726e-02       1.629511597768e+04 
