# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   80       2.803270097151e-10       6.221968004289e-14      -1.409761696321e-12       2.726218004978e-16       1.904385031132e-11       2.444821067819e-12      -1.038452026079e-14 
   81       2.838147798611e-10       6.420516753598e-14      -1.483250300941e-12       2.795125232950e-16       1.846969998668e-11       2.382241335780e-12      -1.060150424421e-14 
   82       2.873334098826e-10       6.620474267114e-14      -1.557885244602e-12       2.864916172409e-16       1.791837097160e-11       2.322113066806e-12      -1.079740834609e-14 
   83       2.908822303566e-10       6.821596703335e-14      -1.633597764446e-12       2.935590480862e-16       1.738776344377e-11       2.264166165336e-12      -1.095632797935e-14 
   84       2.944605693192e-10       7.023650094753e-14      -1.710322624488e-12       3.007147843523e-16       1.687583079682e-11       2.208140615876e-12      -1.106429240871e-14 
   85       2.980689489693e-10       7.226484054394e-14      -1.788021218957e-12       3.079588458955e-16       1.638224684608e-11       2.153996971589e-12      -1.111989856591e-14 
   86       3.017080559974e-10       7.429969872367e-14      -1.866662226558e-12       3.152912626956e-16       1.590698376127e-11       2.101737085768e-12      -1.112537338072e-14 
   87       3.053783675781e-10       7.633978549270e-14      -1.946214765888e-12       3.227120600823e-16       1.544979978371e-11       2.051339625977e-12      -1.108339987334e-14 
   88       3.090801401613e-10       7.838380927993e-14      -2.026648468175e-12       3.302212585919e-16       1.501023035761e-11       2.002759101251e-12      -1.099713252800e-14 
   89       3.128133982643e-10       8.043047825522e-14      -2.107933550018e-12       3.378188738239e-16       1.458757926133e-11       1.955924889305e-12      -1.087021266660e-14 
   90       3.165779232638e-10       8.247850164743e-14      -2.190040886121e-12       3.455049162975e-16       1.418090973866e-11       1.910740263737e-12      -1.070678382237e-14 
   91       3.203732421870e-10       8.452659106242e-14      -2.272942082029e-12       3.532793913082e-16       1.378903563006e-11       1.867081421235e-12      -1.051150711346e-14 
   92       3.241986165040e-10       8.657346180112e-14      -2.356609546868e-12       3.611422987843e-16       1.341051250400e-11       1.824796508782e-12      -1.028957661662e-14 
   93       3.280533025881e-10       8.861773491325e-14      -2.441009333471e-12       3.690937498483e-16       1.304398039066e-11       1.783742771920e-12      -1.004622327482e-14 
   94       3.319374022517e-10       9.065762364476e-14      -2.526078268971e-12       3.771343368663e-16       1.268927021145e-11       1.743906503594e-12      -9.785107878828e-15 
   95       3.358511200030e-10       9.269120204957e-14      -2.611743503127e-12       3.852648190480e-16       1.234644813351e-11       1.705299420965e-12      -9.509713689639e-15 
   96       3.397944953974e-10       9.471650000795e-14      -2.697929408273e-12       3.934860121393e-16       1.201547480625e-11       1.667921708292e-12      -9.223844609793e-15 
   97       3.437673955577e-10       9.673150318202e-14      -2.784557552774e-12       4.017987898814e-16       1.169620131898e-11       1.631761567414e-12      -8.931633536187e-15 
   98       3.477695076952e-10       9.873415297118e-14      -2.871546674480e-12       4.102040854693e-16       1.138836515862e-11       1.596794768241e-12      -8.637550712908e-15 
   99       3.518003316309e-10       1.007223464676e-13      -2.958812654186e-12       4.187028930098e-16       1.109158616734e-11       1.562984199243e-12      -8.346412084051e-15 
  100       3.558591723163e-10       1.026939364114e-13      -3.046268489085e-12       4.272962689806e-16       1.080536250021e-11       1.530279417930e-12      -8.063387646544e-15 
  101       3.599451323540e-10       1.046467311467e-13      -3.133824266225e-12       4.359853336885e-16       1.052906658288e-11       1.498616201345e-12      -7.794009802975e-15 
  102       3.640571045194e-10       1.065784945763e-13      -3.221387135965e-12       4.447712727281e-16       1.026194106925e-11       1.467916096549e-12      -7.544181714411e-15 
  103       3.681937642809e-10       1.084869461179e-13      -3.308861285431e-12       4.536553384403e-16       1.000309479912e-11       1.438085971107e-12      -7.320185653226e-15 
  104       3.723538521647e-10       1.103698664977e-13      -3.396154081571e-12       4.626387200955e-16       9.751704826378e-12       1.409039639978e-12      -7.127233952582e-15 
  105       3.765370803982e-10       1.122254315058e-13      -3.483195502565e-12       4.717221313299e-16       9.507662291499e-12       1.380767041575e-12      -6.964880933317e-15 
  106       3.807433353677e-10       1.140519234536e-13      -3.569921294054e-12       4.809061694374e-16       9.271006667103e-12       1.353273611862e-12      -6.831003882046e-15 
  107       3.849723944700e-10       1.158476304656e-13      -3.656267074690e-12       4.901914416844e-16       9.041725722160e-12       1.326558838004e-12      -6.723197538696e-15 
  108       3.892239218178e-10       1.176108475983e-13      -3.742168377394e-12       4.995785653250e-16       8.819753744170e-12       1.300616051445e-12      -6.638766433910e-15 
  109       3.934974639461e-10       1.193398779583e-13      -3.827560690610e-12       5.090681676177e-16       8.604969761328e-12       1.275432221001e-12      -6.574717226454e-15 
  110       3.977924455181e-10       1.210330338212e-13      -3.912379499559e-12       5.186608858410e-16       8.397195764708e-12       1.250987745937e-12      -6.527751040612e-15 
  111       4.021081650316e-10       1.226886377500e-13      -3.996560327490e-12       5.283573673093e-16       8.196194930428e-12       1.227256249057e-12      -6.494255803597e-15 
  112       4.064437905244e-10       1.243050237135e-13      -4.080038776937e-12       5.381582693889e-16       8.001669841832e-12       1.204204369786e-12      -6.470298582945e-15 
  113       4.107983552807e-10       1.258805382049e-13      -4.162750570971e-12       5.480642595142e-16       7.813260711659e-12       1.181791557257e-12      -6.451617923925e-15 
  114       4.151707535373e-10       1.274135413602e-13      -4.244631594456e-12       5.580760152031e-16       7.630543604222e-12       1.159969863394e-12      -6.433616186938e-15 
  115       4.195597361892e-10       1.289024080769e-13      -4.325617935300e-12       5.681942240735e-16       7.453028657576e-12       1.138683735997e-12      -6.411351884918e-15 
  116       4.239640824137e-10       1.303455575477e-13      -4.405644472028e-12       5.784195849388e-16       7.280267487479e-12       1.117882596882e-12      -6.380549092607e-15 
  117       4.283831473939e-10       1.317415435434e-13      -4.484640353477e-12       5.887528112122e-16       7.112194014448e-12       1.097560753572e-12      -6.340781285339e-15 
  118       4.328163734342e-10       1.330889772585e-13      -4.562533044427e-12       5.991946279485e-16       6.948821929238e-12       1.077721974148e-12      -6.292662007645e-15 
  119       4.372631172931e-10       1.343865012324e-13      -4.639249758201e-12       6.097457708257e-16       6.790138415210e-12       1.058367043531e-12      -6.236863753276e-15 
  120       4.417226474437e-10       1.356327907196e-13      -4.714717485065e-12       6.204069861717e-16       6.636103335865e-12       1.039493669610e-12      -6.174119295282e-15 
  121       4.461941413362e-10       1.368265550592e-13      -4.788863020629e-12       6.311790309887e-16       6.486648422374e-12       1.021096389368e-12      -6.105223016094e-15 
  122       4.506766826585e-10       1.379665390449e-13      -4.861612994247e-12       6.420626729794e-16       6.341676461109e-12       1.003166475010e-12      -6.031032237604e-15 
  123       4.551692585981e-10       1.390515242943e-13      -4.932893897420e-12       6.530586905720e-16       6.201060481169e-12       9.856918400879e-13      -5.952468551245e-15 
  124       4.596707571035e-10       1.400803306194e-13      -5.002632112193e-12       6.641678729461e-16       6.064642941918e-12       9.686569456303e-13      -5.870519148072e-15 
  125       4.641799641454e-10       1.410518173954e-13      -5.070753939559e-12       6.753910200580e-16       5.932234920507e-12       9.520427062666e-13      -5.786238148841e-15 
  126       4.686955609786e-10       1.419648849312e-13      -5.137185627860e-12       6.867289426663e-16       5.803615299411e-12       9.358263963551e-13      -5.700747934093e-15 
  127       4.732161214030e-10       1.428184758390e-13      -5.201853401185e-12       6.981824623572e-16       5.678529953959e-12       9.199815561094e-13      -5.615240474229e-15 
  128       4.777401090252e-10       1.436115764038e-13      -5.264683487773e-12       7.097524115703e-16       5.556690939859e-12       9.044778977254e-13      -5.530978659596e-15 
  129       4.822660392069e-10       1.443432626850e-13      -5.325603483057e-12       7.214396480828e-16       5.437838383120e-12       8.892882591432e-13      -5.449052901659e-15 
  130       4.867929908120e-10       1.450128416303e-13      -5.384546547537e-12       7.332451002068e-16       5.321935551778e-12       8.744105272055e-13      -5.369617922388e-15 
  131       4.913201456848e-10       1.456197281022e-13      -5.441447725236e-12       7.451697266216e-16       5.208993747991e-12       8.598479532908e-13      -5.292574363575e-15 
  132       4.958466274507e-10       1.461634032082e-13      -5.496242687908e-12       7.572145024867e-16       5.099011163689e-12       8.456022782456e-13      -5.217805593690e-15 
  133       5.003714999559e-10       1.466434159898e-13      -5.548867772997e-12       7.693804195709e-16       4.991972516776e-12       8.316736889414e-13      -5.145177286772e-15 
